# Constructed from biom file
#OTU ID	ODR-2-1	ODR-2-1-DW	ODR-2-2	ODR-2-2-DW	ODR-2-3	ODR-2-3-DW	ODR-2-4	ODR-2-4-DW	ODR-2-5	ODR-2-5-DW	ODR-3-1	ODR-3-1-DW	ODR-3-2	ODR-3-2-DW	ODR-3-3-DW	ODR-3-4	ODR-3-4-DW	ODR-3-5	ODR-3-5-DW
3af48669bd795a4f010caf3d114f59ac	0.0	310.0	0.0	381.0	0.0	331.0	0.0	238.0	79.0	192.0	0.0	187.0	0.0	155.0	45.0	0.0	88.0	0.0	131.0
dfd3b7ba445573225968345e8915ae59	0.0	95.0	0.0	97.0	0.0	139.0	0.0	59.0	102.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56e82c71ca709c5900ccf6909eb68674	0.0	44.0	0.0	34.0	0.0	39.0	0.0	29.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9a48f8a3bbadc6b355dafc21ef0d1570	14.0	0.0	0.0	0.0	0.0	57.0	0.0	57.0	42.0	85.0	0.0	68.0	0.0	45.0	0.0	7.0	45.0	0.0	52.0
cbb2d95dccc2491aec81a6290e406eac	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	20.0	0.0	0.0	0.0	39.0	57.0	0.0	0.0	0.0	39.0
2259b3b09a29b4d365c42d8e2aac70e4	0.0	18.0	0.0	21.0	0.0	18.0	0.0	23.0	0.0	24.0	0.0	4.0	0.0	11.0	0.0	0.0	14.0	0.0	0.0
6958ab4d16d15a3dad95ea5c1e16f95e	0.0	38.0	0.0	94.0	0.0	104.0	0.0	62.0	32.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8e72d647b150980210be9a8f991d8654	12.0	45.0	0.0	94.0	61.0	97.0	0.0	39.0	47.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8f493c1143a685f13d2315be3a19507a	0.0	0.0	0.0	0.0	0.0	21.0	0.0	31.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	18.0
fc2307d3001a3b10f17ce74339eba051	0.0	16.0	0.0	24.0	0.0	44.0	0.0	22.0	0.0	43.0	0.0	135.0	0.0	279.0	128.0	0.0	120.0	0.0	238.0
ca598e0376c68f4a927f826122683919	0.0	36.0	0.0	11.0	0.0	49.0	0.0	35.0	0.0	32.0	0.0	100.0	0.0	218.0	82.0	0.0	87.0	0.0	168.0
6b3fd25486c30de6f3c9624143517c86	0.0	714.0	0.0	574.0	0.0	700.0	0.0	487.0	116.0	451.0	0.0	346.0	0.0	256.0	69.0	0.0	227.0	0.0	299.0
